Operator;Address;Hostname
Cloudflare;1.1.1.1;one.one.one.one
Cloudflare;1.0.0.1;
Cloudflare;2606:4700:4700::1111;
Cloudflare;2606:4700:4700::1001;
Control D Free Uncensored;76.76.2.0;p0.freedns.controld.com
Control D Free Uncensored;76.76.10.0;
Control D Free Uncensored;2606:1a40::;
Control D Free Uncensored;2606:1a40:1::;
dns.sb;45.11.45.11;
dns.sb;2a09::;
dns.sb;2a11::;
DNS0.EU Open;193.110.81.254;open.dns0.eu
DNS0.EU Open;185.253.5.254;
DNS0.EU Open;2a0f:fc80::ffff;
DNS0.EU Open;2a0f:fc81::ffff;
Google Public Free DNS;8.8.8.8;dns.google
Google Public Free DNS;8.8.4.4;
Lightning Wire Labs;81.3.27.54;recursor01.dns.ipfire.org
Lightning Wire Labs;2001:678:b28::54;
Lightning Wire Labs;81.3.27.54;recursor01.dns.lightningwirelabs.com
Lightning Wire Labs;2001:678:b28::54;
DNS-GA;88.99.98.111;``dns1.dns-ga.de
DNS-GA;2a01:4f8:221:e54::2;
DNS-GA;2001:8d8:820:3a00::b:c47;
DNS-GA;2a01:4f8:172:1d2a::2;
French Data Network (FDN);80.67.169.12;
French Data Network (FDN);80.67.169.40;
French Data Network (FDN);2001:910:800::12;
French Data Network (FDN);2001:910:800::40;
LinuxPatch.com;45.80.1.6;
LinuxPatch.com;2a0e:3780:1::3:38;
Comcast / Xfinity;75.75.75.75;
Comcast / Xfinity;75.75.76.76;
Verisign;64.6.64.6;rec1pubns1.ultradns.net
Verisign;64.6.65.6;rec1pubns2.ultradns.net
